,弱火,正常,过火
0,0.24295589327812195,0.13127298653125763,0.625771164894104
1,0.33635592460632324,0.10590805113315582,0.5577360391616821
2,0.37807443737983704,0.11521638184785843,0.506709098815918
3,0.428042471408844,0.08717993646860123,0.48477765917778015
4,0.3370499312877655,0.08340263366699219,0.5795474648475647
5,0.3068910837173462,0.08469909429550171,0.6084098815917969
6,0.35631904006004333,0.0793713927268982,0.5643095374107361
7,0.3768761157989502,0.07991957664489746,0.5432042479515076
8,0.39147698879241943,0.07687089592218399,0.5316520929336548
9,0.3906788229942322,0.07745692133903503,0.5318642258644104
10,0.4189114272594452,0.07906414568424225,0.5020244121551514
11,0.35833197832107544,0.07774655520915985,0.5639213919639587
12,0.34317517280578613,0.08803202211856842,0.5687928199768066
13,0.3579699993133545,0.0856599360704422,0.5563700795173645
14,0.3553701937198639,0.0853915587067604,0.5592381954193115
15,0.4168761968612671,0.08159475028514862,0.5015290975570679
16,0.46121546626091003,0.07663729786872864,0.46214723587036133
17,0.4593297839164734,0.07707374542951584,0.46359649300575256
18,0.4513317346572876,0.07746239006519318,0.4712059497833252
19,0.4724792242050171,0.0712825357913971,0.4562382102012634
20,0.44323983788490295,0.07999313622713089,0.47676703333854675
21,0.40763190388679504,0.08923450112342834,0.5031335949897766
22,0.4213307797908783,0.08606316149234772,0.4926060438156128
23,0.4378277659416199,0.0874367281794548,0.4747355878353119
24,0.4443088471889496,0.0683949664235115,0.48729613423347473
25,0.43575721979141235,0.07219795882701874,0.4920448064804077
26,0.45288923382759094,0.07333219051361084,0.47377851605415344
27,0.45999282598495483,0.07457160204648972,0.46543553471565247
28,0.46489521861076355,0.06628437340259552,0.4688204526901245
29,0.4581128656864166,0.06285394728183746,0.4790332615375519
30,0.5210391283035278,0.05449147894978523,0.42446938157081604
31,0.5462654232978821,0.04640236496925354,0.4073322117328644
32,0.45441994071006775,0.056469473987817764,0.4891105592250824
33,0.5559974908828735,0.05275096744298935,0.3912515342235565
34,0.5385729670524597,0.051670726388692856,0.40975630283355713
35,0.5395755171775818,0.06034189835190773,0.4000825881958008
